file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,,src.tngsdk.package.tests.test_unit_python_api,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_python_api.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,50,,same
,,src.tngsdk.package.tests.test_unit_rest,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_rest.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,50,,same
,,src.tngsdk.package.tests.test_unit_storage_tngcat,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngcat.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,50,,same
,,src.tngsdk.package.tests.test_unit_storage_tngprj,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngprj.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,50,,same
,,src.tngsdk.package.tests.test_unit_validator,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_validator.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,50,,same
,,src.tngsdk.package.tests.test_packager_onap,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_packager_onap.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,114,,same
,,src.tngsdk.package.tests.test_unit_cli,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_cli.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,114,,same
,,src.tngsdk.package.tests.test_unit_packager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,114,,same
,,src.tngsdk.package.tests.test_unit_packager_osm,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager_osm.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,114,,same
,,src.tngsdk.package.tests.test_unit_packager_tango,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager_tango.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,114,,same
,,src.tngsdk.package.tests.test_unit_python_api,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_python_api.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,114,,same
,,src.tngsdk.package.tests.test_unit_rest,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_rest.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,114,,same
,,src.tngsdk.package.tests.test_unit_storage_tngcat,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngcat.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,114,,same
,,src.tngsdk.package.tests.test_unit_storage_tngprj,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngprj.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,114,,same
,,src.tngsdk.package.tests.test_unit_validator,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_validator.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,114,,same
,,src.tngsdk.package.tests.test_packager_onap,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_packager_onap.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,25,,same
,,src.tngsdk.package.tests.test_unit_cli,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_cli.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,25,,same
,,src.tngsdk.package.tests.test_unit_packager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,25,,same
,,src.tngsdk.package.tests.test_unit_packager_osm,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager_osm.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,25,,same
,,src.tngsdk.package.tests.test_unit_packager_tango,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager_tango.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,25,,same
,,src.tngsdk.package.tests.test_unit_python_api,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_python_api.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,25,,same
,,src.tngsdk.package.tests.test_unit_rest,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_rest.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,25,,same
,,src.tngsdk.package.tests.test_unit_storage_tngcat,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngcat.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,25,,same
,,src.tngsdk.package.tests.test_unit_storage_tngprj,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngprj.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,25,,same
,,src.tngsdk.package.tests.test_unit_validator,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_validator.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,25,,same
,,src.tngsdk.package.tests.test_packager_onap,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_packager_onap.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,104,,same
,,src.tngsdk.package.tests.test_unit_cli,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_cli.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,104,,same
,,src.tngsdk.package.tests.test_unit_packager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,104,,same
,,src.tngsdk.package.tests.test_unit_packager_osm,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager_osm.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,104,,same
,,src.tngsdk.package.tests.test_unit_packager_tango,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager_tango.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,104,,same
,,src.tngsdk.package.tests.test_unit_python_api,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_python_api.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,104,,same
,,src.tngsdk.package.tests.test_unit_rest,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_rest.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,104,,same
,,src.tngsdk.package.tests.test_unit_storage_tngcat,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngcat.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,104,,same
,,src.tngsdk.package.tests.test_unit_storage_tngprj,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngprj.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,104,,same
,,src.tngsdk.package.tests.test_unit_validator,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_validator.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,104,,same
,,src.tngsdk.package.tests.test_packager_onap,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_packager_onap.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,195,,same
,,src.tngsdk.package.tests.test_unit_cli,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_cli.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,195,,same
,,src.tngsdk.package.tests.test_unit_packager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,195,,same
,,src.tngsdk.package.tests.test_unit_packager_osm,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager_osm.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,195,,same
,,src.tngsdk.package.tests.test_unit_packager_tango,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager_tango.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,195,,same
,,src.tngsdk.package.tests.test_unit_python_api,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_python_api.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,195,,same
,,src.tngsdk.package.tests.test_unit_rest,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_rest.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,195,,same
,,src.tngsdk.package.tests.test_unit_storage_tngcat,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngcat.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,195,,same
,,src.tngsdk.package.tests.test_unit_storage_tngprj,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngprj.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,195,,same
,,src.tngsdk.package.tests.test_unit_validator,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_validator.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,195,,same
,,src.tngsdk.package.tests.test_packager_onap,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_packager_onap.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,64,,same
,,src.tngsdk.package.tests.test_unit_cli,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_cli.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,64,,same
,,src.tngsdk.package.tests.test_unit_packager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,64,,same
,,src.tngsdk.package.tests.test_unit_packager_osm,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager_osm.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,64,,same
,,src.tngsdk.package.tests.test_unit_packager_tango,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager_tango.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,64,,same
,,src.tngsdk.package.tests.test_unit_python_api,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_python_api.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,64,,same
,,src.tngsdk.package.tests.test_unit_rest,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_rest.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,64,,same
,,src.tngsdk.package.tests.test_unit_storage_tngcat,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngcat.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,64,,same
,,src.tngsdk.package.tests.test_unit_storage_tngprj,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngprj.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,64,,same
,,src.tngsdk.package.tests.test_unit_validator,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_validator.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,64,,same
,,src.tngsdk.package.tests.test_packager_onap,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_packager_onap.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,170,,same
,,src.tngsdk.package.tests.test_unit_cli,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_cli.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,170,,same
,,src.tngsdk.package.tests.test_unit_packager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,170,,same
,,src.tngsdk.package.tests.test_unit_packager_osm,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager_osm.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,170,,same
,,src.tngsdk.package.tests.test_unit_packager_tango,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager_tango.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,170,,same
,,src.tngsdk.package.tests.test_unit_python_api,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_python_api.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,170,,same
,,src.tngsdk.package.tests.test_unit_rest,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_rest.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,170,,same
,,src.tngsdk.package.tests.test_unit_storage_tngcat,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngcat.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,170,,same
,,src.tngsdk.package.tests.test_unit_storage_tngprj,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngprj.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,170,,same
,,src.tngsdk.package.tests.test_unit_validator,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_validator.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,170,,same
,,src.tngsdk.package.tests.test_packager_onap,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_packager_onap.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,133,,same
,,src.tngsdk.package.tests.test_unit_cli,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_cli.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,133,,same
,,src.tngsdk.package.tests.test_unit_packager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,133,,same
,,src.tngsdk.package.tests.test_unit_packager_osm,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager_osm.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,133,,same
,,src.tngsdk.package.tests.test_unit_packager_tango,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_packager_tango.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,133,,same
,,src.tngsdk.package.tests.test_unit_python_api,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_python_api.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,133,,same
,,src.tngsdk.package.tests.test_unit_rest,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_rest.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,133,,same
,,src.tngsdk.package.tests.test_unit_storage_tngcat,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/src/tngsdk/package/tests/test_unit_storage_tngcat.py'."", ""E   ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/markupsafe/__init__.py)""]",,,133,,same
