file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_callable,Passed,NO MESSAGE,,,,40,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_output,Passed,NO MESSAGE,,,,40,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_directory,Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[None-.py-allowed_methods0],Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-None-allowed_methods1],Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-.py-allowed_methods2],Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[None-foo-.py-allowed_methods0],Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-None-.py-allowed_methods1],Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-None-allowed_methods2],Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-.py-allowed_methods3],Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_directory-3],Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_single_file-1],Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_directory-names0],Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_single_file-names1],Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_count,Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_callable,Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_output,Passed,NO MESSAGE,,,,87,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_directory,Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[None-.py-allowed_methods0],Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-None-allowed_methods1],Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-.py-allowed_methods2],Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[None-foo-.py-allowed_methods0],Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-None-.py-allowed_methods1],Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-None-allowed_methods2],Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-.py-allowed_methods3],Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_directory-3],Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_single_file-1],Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_directory-names0],Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_single_file-names1],Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_count,Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_callable,Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_output,Passed,NO MESSAGE,,,,110,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_directory,Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[None-.py-allowed_methods0],Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-None-allowed_methods1],Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-.py-allowed_methods2],Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[None-foo-.py-allowed_methods0],Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-None-.py-allowed_methods1],Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-None-allowed_methods2],Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-.py-allowed_methods3],Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_directory-3],Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_single_file-1],Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_directory-names0],Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_single_file-names1],Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_count,Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_callable,Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_output,Passed,NO MESSAGE,,,,77,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_directory,Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[None-.py-allowed_methods0],Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-None-allowed_methods1],Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-.py-allowed_methods2],Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[None-foo-.py-allowed_methods0],Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-None-.py-allowed_methods1],Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-None-allowed_methods2],Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-.py-allowed_methods3],Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_directory-3],Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_single_file-1],Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_directory-names0],Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_single_file-names1],Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_count,Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_callable,Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_output,Passed,NO MESSAGE,,,,11,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_directory,Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[None-.py-allowed_methods0],Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-None-allowed_methods1],Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-.py-allowed_methods2],Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[None-foo-.py-allowed_methods0],Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-None-.py-allowed_methods1],Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-None-allowed_methods2],Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-.py-allowed_methods3],Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_directory-3],Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_single_file-1],Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_directory-names0],Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_single_file-names1],Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_count,Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_callable,Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_output,Passed,NO MESSAGE,,,,76,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_directory,Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[None-.py-allowed_methods0],Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-None-allowed_methods1],Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-.py-allowed_methods2],Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[None-foo-.py-allowed_methods0],Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-None-.py-allowed_methods1],Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-None-allowed_methods2],Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-.py-allowed_methods3],Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_directory-3],Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_single_file-1],Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_directory-names0],Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_single_file-names1],Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_count,Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_callable,Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_output,Passed,NO MESSAGE,,,,49,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_directory,Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[None-.py-allowed_methods0],Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-None-allowed_methods1],Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-.py-allowed_methods2],Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[None-foo-.py-allowed_methods0],Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-None-.py-allowed_methods1],Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-None-allowed_methods2],Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-.py-allowed_methods3],Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_directory-3],Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_single_file-1],Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_directory-names0],Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_single_file-names1],Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_count,Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_callable,Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_output,Passed,NO MESSAGE,,,,55,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_directory,Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[None-.py-allowed_methods0],Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-None-allowed_methods1],Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-.py-allowed_methods2],Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[None-foo-.py-allowed_methods0],Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-None-.py-allowed_methods1],Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-None-allowed_methods2],Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-.py-allowed_methods3],Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_directory-3],Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_single_file-1],Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_directory-names0],Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_single_file-names1],Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_count,Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_callable,Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_output,Passed,NO MESSAGE,,,,166,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_directory,Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[None-.py-allowed_methods0],Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-None-allowed_methods1],Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-.py-allowed_methods2],Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[None-foo-.py-allowed_methods0],Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-None-.py-allowed_methods1],Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-None-allowed_methods2],Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-.py-allowed_methods3],Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_directory-3],Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_single_file-1],Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_directory-names0],Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_single_file-names1],Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_count,Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_callable,Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_output,Passed,NO MESSAGE,,,,75,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_directory,Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[None-.py-allowed_methods0],Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-None-allowed_methods1],Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-.py-allowed_methods2],Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[None-foo-.py-allowed_methods0],Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-None-.py-allowed_methods1],Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-None-allowed_methods2],Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-.py-allowed_methods3],Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_directory-3],Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_single_file-1],Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_directory-names0],Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_single_file-names1],Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_count,Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_callable,Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_output,Passed,NO MESSAGE,,,,45,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_directory,Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[None-.py-allowed_methods0],Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-None-allowed_methods1],Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-.py-allowed_methods2],Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[None-foo-.py-allowed_methods0],Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-None-.py-allowed_methods1],Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-None-allowed_methods2],Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-.py-allowed_methods3],Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_directory-3],Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_single_file-1],Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_directory-names0],Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_single_file-names1],Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_count,Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_callable,Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_output,Passed,NO MESSAGE,,,,46,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_directory,Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[None-.py-allowed_methods0],Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-None-allowed_methods1],Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-.py-allowed_methods2],Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[None-foo-.py-allowed_methods0],Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-None-.py-allowed_methods1],Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-None-allowed_methods2],Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-foo-.py-allowed_methods3],Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_directory-3],Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_find_files.TestFunctionFactoryFindFiles,test_nested_files[create_single_file-1],Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_directory-names0],Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_clipped_names[create_single_file-names1],Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_count,Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_callable,Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_find_files.TestFunctionPathFiles,test_file_method_output,Passed,NO MESSAGE,,,,115,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_directory,Passed,NO MESSAGE,,,,80,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[None-.py-allowed_methods0],Passed,NO MESSAGE,,,,80,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-None-allowed_methods1],Passed,NO MESSAGE,,,,80,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathFactoryConstructor,test_constructor_bad_arguments[/api-.py-allowed_methods2],Passed,NO MESSAGE,,,,80,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[None-foo-.py-allowed_methods0],Passed,NO MESSAGE,,,,80,,same
,trimport.tests.core.functions.test_constructor.TestFunctionPathConstructor,test_constructor_bad_arguments[/api-None-.py-allowed_methods1],Passed,NO MESSAGE,,,,80,,same
